Date,AAL,AZN,BATS.L,BHP,BP,CRH,DGE,EXPN.L,GSK,HSBA.L,LSE,NG,PRU,RB.L,RDS-B,RDSA.AS,REL.L,RIO,ULVR.L,VOD
2018-05-08,42.089439392089844,33.161800384521484,3210.30224609375,40.14619445800781,37.90070724487305,34.2668342590332,817.4199829101562,1645.891845703125,35.04397964477539,620.82275390625,,4.889999866485596,88.86222076416016,5357.60595703125,63.38779830932617,25.020233154296875,1493.90625,44.77374267578125,3743.893798828125,24.415395736694336
2018-05-09,40.6212043762207,33.626773834228516,3294.584228515625,41.462188720703125,39.11305236816406,34.74589920043945,828.3900146484375,1664.5679931640625,35.58366012573242,628.5985107421875,,4.800000190734863,88.88885498046875,5364.1630859375,64.84638977050781,25.891582489013672,1494.850341796875,45.70299530029297,3780.83837890625,24.62056541442871
2018-05-10,41.14977264404297,33.487281799316406,3299.64111328125,42.078006744384766,38.85896301269531,34.52045822143555,837.0800170898438,1683.7230224609375,35.7657585144043,639.2570190429688,,4.840000152587891,89.5191421508789,5369.7841796875,64.7145004272461,26.07908058166504,1515.618896484375,46.341346740722656,3823.787109375,24.603466033935547
2018-05-11,41.69791793823242,33.84995651245117,3253.285888671875,42.52510452270508,38.81661605834961,34.454708099365234,850.6500244140625,1662.6524658203125,35.864315032958984,642.8390502929688,,4.900000095367432,88.66692352294922,5392.267578125,65.12774658203125,26.301454544067383,1502.8743896484375,46.37367630004883,3823.324462890625,24.594919204711914
2018-05-14,41.56087875366211,33.868553161621094,3211.988037109375,43.18309783935547,39.29938507080078,34.060184478759766,857.7999877929688,1642.5396728515625,35.87327575683594,640.392822265625,,4.920000076293945,88.65804290771484,5410.06640625,65.88392639160156,26.353776931762695,1492.4903564453125,46.74536895751953,3821.47802734375,24.252967834472656
2018-05-15,42.27542495727539,33.701168060302734,3225.051513671875,42.74443435668945,39.62971115112305,33.919288635253906,853.3400268554688,1639.1876220703125,35.59553146362305,645.2852783203125,,4.880000114440918,89.2528305053711,5433.48681640625,66.40269470214844,26.702604293823242,1497.6824951171875,46.47871780395508,3794.693115234375,23.11597442626953
2018-05-16,43.12699890136719,33.94294738769531,3236.4296875,43.41930389404297,39.561954498291016,34.33259201049805,859.030029296875,1636.79345703125,35.729923248291016,645.4600830078125,,4.920000076293945,89.81208801269531,5452.2236328125,65.93669128417969,26.7287654876709,1498.154541015625,47.61806106567383,3780.37646484375,22.73982810974121
2018-05-17,42.70610046386719,33.88715362548828,3215.359130859375,43.34337615966797,39.96849822998047,34.75529479980469,862.6199951171875,1728.2584228515625,35.92702102661133,644.2686157226562,,4.860000133514404,91.09043884277344,5529.97802734375,67.0006103515625,27.243284225463867,1507.5946044921875,47.65846633911133,3787.303955078125,22.748376846313477
2018-05-18,42.46139907836914,33.78485870361328,3202.716796875,42.86253356933594,40.12942123413086,35.44100570678711,861.6400146484375,1742.62451171875,35.864315032958984,646.9166870117188,,4.829999923706055,90.93065643310547,5574.0078125,66.67526245117188,27.108112335205078,1528.8349609375,47.1978759765625,3821.939208984375,22.57740020751953
2018-05-21,43.34233474731445,34.21263885498047,3172.796630859375,43.43617248535156,40.4766731262207,35.68523406982422,858.2899780273438,1757.4696044921875,35.88222885131836,652.2127685546875,,4.670000076293945,91.0022964477539,5572.134765625,67.43144226074219,27.339210510253906,1551.4913330078125,47.80391311645508,3863.964111328125,22.688533782958984
2018-05-22,41.971981048583984,34.45442199707031,3171.111083984375,43.14091873168945,39.883792877197266,35.469181060791016,859.4400024414062,1771.8359375,36.13309097290039,658.2149658203125,,4.579999923706055,91.31575012207031,5546.84033203125,66.6489028930664,27.225839614868164,1549.1314697265625,47.64229965209961,3867.658447265625,23.030487060546875
2018-05-23,41.893672943115234,34.25912857055664,3172.375244140625,43.014381408691406,39.341739654541016,34.73650360107422,862.7100219726562,1772.793701171875,35.99870681762695,652.5657958984375,,4.659999847412109,90.36641693115234,5603.986328125,65.11017608642578,26.345056533813477,1550.0751953125,46.67264938354492,3875.047607421875,22.731279373168945
2018-05-24,42.63758850097656,34.29633331298828,3202.716796875,42.92158508300781,38.74885940551758,34.670753479003906,860.1500244140625,1786.68115234375,35.864315032958984,644.533447265625,,4.809999942779541,89.90070343017578,5603.04931640625,63.940738677978516,25.847978591918945,1542.5233154296875,46.543357849121094,3851.033447265625,22.483362197875977
2018-05-25,43.9589958190918,34.44512176513672,3260.87158203125,41.352516174316406,37.5630989074707,34.304412841796875,860.4600219726562,1781.413330078125,35.70303726196289,646.8284301757812,,4.860000133514404,89.57827758789062,5647.0791015625,62.516319274902344,25.459911346435547,1552.9073486328125,46.04237365722656,3863.04052734375,22.36368179321289
2018-05-28,,,,,,,,,,,,,,,,25.372705459594727,,,,
2018-05-29,42.66694641113281,33.83135986328125,3193.446044921875,40.610164642333984,37.724021911621094,33.17721176147461,852.3200073242188,1744.5400390625,35.6492919921875,638.3547973632812,,4.849999904632568,85.05548095703125,5588.06005859375,61.77772903442383,25.53839874267578,1542.05126953125,45.105045318603516,3851.95751953125,22.149959564208984
2018-05-30,42.38309097290039,34.27772903442383,3210.30224609375,41.69839096069336,38.71498107910156,33.79716873168945,866.1300048828125,1756.9908447265625,36.43770980834961,640.6495971679688,,4.849999904632568,87.63481903076172,5542.15625,63.72971725463867,26.03111457824707,1548.1873779296875,45.82420349121094,3878.280517578125,22.372228622436523
2018-05-31,42.618011474609375,34.435821533203125,3260.87158203125,41.99364471435547,38.80814743041992,34.74589920043945,858.8900146484375,1763.695068359375,36.30331802368164,636.0596923828125,,4.840000152587891,86.73026275634766,5396.951171875,63.59781265258789,25.887222290039062,1559.987548828125,45.81612014770508,3829.79052734375,22.167057037353516
2018-06-01,43.06827163696289,34.231231689453125,3224.208984375,42.38169860839844,38.89283752441406,34.89619827270508,865.6699829101562,1781.413330078125,36.5093879699707,639.7669067382812,,4.679999828338623,88.52146911621094,5410.06640625,63.83522033691406,26.118322372436523,1556.6834716796875,46.494876861572266,3829.328369140625,22.44061851501465
